(u'800', 0.7385694313638016)
(u'nobody', 0.73841516682992214)
(u'email', 0.73798948072138337)
(u'supposedly', 0.73659676044335853)
(u'shame', 0.73523442754184209)
(u'watery', 0.7350956558440398)
(u'watered', 0.73452061444034555)
(u'warranty', 0.73340077235944356)
(u'mins', 0.73279793932942106)
(u'blah', 0.73264094921499101)
(u'attitudes', 0.7324551973393536)
(u'causing', 0.73078767219592322)
(u'spilled', 0.7298568366185556)
(u'send', 0.7283103476012478)
(u'shut', 0.72697573157472739)
(u'forgettable', 0.72667948376049019)
(u'airlines', 0.72640543205108976)
(u'credit', 0.72618984754394589)
(u'emailed', 0.72616738944033976)
(u'smelly', 0.72160389720550455)
(u'attempt', 0.72139610555289835)
(u'0', 0.72135594631277655)
(u'ridiculous', 0.72075563889565331)
(u'comp', 0.71956125476322086)
(u'corporate', 0.71934916943342841)
(u'tone', 0.71834602249526469)
(u'underwhelming', 0.7182564427604774)
(u'bothered', 0.71732935962284827)
(u'returned', 0.71672565911868702)
(u'inquired', 0.716276934426471)
(u'statement', 0.71582860548418203)
(u'grace', 0.71536289207370274)
(u'situation', 0.71219224630632638)
(u'pointed', 0.71142252747838519)
(u'address', 0.71102215549079872)
(u'hire', 0.71081775251134616)
(u'meh', 0.7104551923964646)
(u'soggy', 0.71001744335295314)
(u'minutes', 0.70670684129012962)
(u'mushy', 0.70574410921008024)
(u'confirm', 0.70544556389208246)
(u'barely', 0.70539970006761799)
(u'bother', 0.70519102997479699)
(u'emails', 0.70427711443784702)
(u'claims', 0.70403385243631966)
(u'telling', 0.70169319584221057)
(u'underwhelmed', 0.70036504413176104)
(u'returns', 0.69917367564665867)
(u'ummm', 0.69880328944358361)
(u'insisted', 0.69797167176468733)
(u'flies', 0.69646932646743309)
(u'crap', 0.69545436395330995)
(u'damage', 0.69225379953342348)
(u'clearly', 0.69082982179671149)
(u'mess', 0.69051148118040473)
(u'communication', 0.69047393852351391)
(u'lame', 0.69035162307059394)
(u'said', 0.69030992294072568)
(u'cashier', 0.68923904674864822)
(u'promised', 0.68915435825969418)
(u'promising', 0.68891534271719301)
(u'happened', 0.68658691340161049)
(u'receptionist', 0.68431484380790053)
(u'fees', 0.68362900714395813)
(u'assured', 0.68222461698924519)
(u'advertising', 0.68165334663093979)
(u'nurse', 0.68149536625177198)
(u'money', 0.68124926076175196)
(u'dumb', 0.68119226640403241)
(u'sending', 0.68040369883988561)
(u'bill', 0.6801882650754596)
(u'offended', 0.68013786629509987)
(u'lies', 0.67961833504060998)
(u'min', 0.67752985187974524)
(u'assumed', 0.67519115997755463)
(u'forced', 0.67512443140890532)
(u'keys', 0.67483185444940652)
(u'called', 0.67360170001611497)
(u'yell', 0.67319036731736404)
(u'receiving', 0.67255169629715361)
(u'dust', 0.67206831298373793)
(u'grease', 0.67175916046516626)
(u'advised', 0.67036124085040427)
(u'unfortunate', 0.66872621015244249)
(u'customers', 0.66793766116938169)
(u'canned', 0.66664376250109747)
(u'tipped', 0.66396161474375681)
(u'frustrating', 0.66236125509571586)
(u'unable', 0.6609410503523474)
(u'witnessed', 0.66071017278569499)
(u'desk', 0.65877296062496882)
(u'says', 0.65872983732375445)
(u'correct', 0.65773416604573498)
(u'substance', 0.65773258753245578)
(u'speak', 0.65707380201033772)
(u'lacked', 0.65517142777268589)
(u'kidding', 0.6535152497609733)
(u'customer', 0.65262386346623558)
(u'appeared', 0.65209954328224917)
(u'mcdonalds', 0.65002514366433495)
(u'headache', 0.6498390594926704)
(u'delayed', 0.64920634830420987)
(u'advertised', 0.64883174631444085)
(u'sheets', 0.64581161953551636)
(u'received', 0.64297475233336776)
(u'gm', 0.64171876799928818)
(u'standing', 0.63810037863218128)
(u'uncomfortable', 0.63768310402453032)
(u'nor', 0.63724464395749614)
(u'thrown', 0.63581687010518451)
(u'reads', 0.63557419951415284)
(u'corrected', 0.63499932165986195)
(u'driver', 0.63430472759577228)
(u'call', 0.63402319157976006)
(u'dime', 0.63247361221688614)
(u'umm', 0.63146947099405892)
(u'acceptable', 0.63139968345603315)
(u'sad', 0.63139265485521712)
(u'register', 0.63095050643696915)
(u'leak', 0.63081567579111564)
(u'handed', 0.63000225774002949)
(u'handling', 0.62988790870298317)
(u'fucking', 0.62973920556564522)
(u'wouldnt', 0.6291874814137195)
(u'delay', 0.62910380990800085)
(u'calling', 0.62908542781693733)
(u'ugly', 0.62850199132057227)
(u'pushed', 0.62827254623805473)
(u'cell', 0.62792894985692449)
(u'smelled', 0.62751019152032583)
(u'vehicle', 0.62672237065175551)
(u'rent', 0.62581955484093577)
(u'shouldn', 0.62575656968093973)
(u'security', 0.62535989996139918)
(u'understand', 0.62435973449036197)
(u'mail', 0.62400853085665986)
(u'shipping', 0.62390036183863096)
(u'hated', 0.62305611640315384)
(u'cable', 0.62302780204201369)
(u'exchange', 0.62295404289555734)
(u'lamp', 0.62062301515513596)
(u'shit', 0.61928145782381705)
(u'dingy', 0.61672352650231588)
(u'chances', 0.61662646082814021)
(u'receive', 0.61500534300226839)
(u'warn', 0.61441705463474428)
(u'phones', 0.61439523315625877)
(u'inspection', 0.61409059026666668)
(u'voucher', 0.61376057050708255)
(u'charge', 0.61365828651680765)
(u'debit', 0.61274481623541632)
(u'finally', 0.61124502086586396)
(u'touched', 0.61050455607471577)
(u'removed', 0.61004851994400155)
(u'elsewhere', 0.60964421499442523)
(u'later', 0.60884119042917373)
(u'desperate', 0.6084641717989232)
(u'lesson', 0.60731540659505079)
(u'appt', 0.60685709044055081)
